reviewer_id,review_date,estimand_id,domain,rating_1_to_4,material_revision_required_yes_no,comment,conflict_disclosure
,,EST-AE-ALC-001,population relevance,,,,
,,EST-AE-ALC-001,exposure precision,,,,
,,EST-AE-ALC-001,comparator precision,,,,
,,EST-AE-ALC-001,outcome completeness,,,,
,,EST-AE-ALC-001,outcome non-overlap,,,,
,,EST-AE-ALC-001,time-window appropriateness,,,,
,,EST-AE-ALC-001,intercurrent-event strategy,,,,
,,EST-AE-ALC-001,summary-measure interpretability,,,,
,,EST-AE-ALC-001,estimability from available data,,,,
,,EST-AE-ALC-001,important omitted subgroup/context,,,,
,,EST-RU-TOB-001,population relevance,,,,
,,EST-RU-TOB-001,exposure precision,,,,
,,EST-RU-TOB-001,comparator precision,,,,
,,EST-RU-TOB-001,outcome completeness,,,,
,,EST-RU-TOB-001,outcome non-overlap,,,,
,,EST-RU-TOB-001,time-window appropriateness,,,,
,,EST-RU-TOB-001,intercurrent-event strategy,,,,
,,EST-RU-TOB-001,summary-measure interpretability,,,,
,,EST-RU-TOB-001,estimability from available data,,,,
,,EST-RU-TOB-001,important omitted subgroup/context,,,,
,,EST-AE-OPI-001,population relevance,,,,
,,EST-AE-OPI-001,exposure precision,,,,
,,EST-AE-OPI-001,comparator precision,,,,
,,EST-AE-OPI-001,outcome completeness,,,,
,,EST-AE-OPI-001,outcome non-overlap,,,,
,,EST-AE-OPI-001,time-window appropriateness,,,,
,,EST-AE-OPI-001,intercurrent-event strategy,,,,
,,EST-AE-OPI-001,summary-measure interpretability,,,,
,,EST-AE-OPI-001,estimability from available data,,,,
,,EST-AE-OPI-001,important omitted subgroup/context,,,,
,,EST-AE-PSI-001,population relevance,,,,
,,EST-AE-PSI-001,exposure precision,,,,
,,EST-AE-PSI-001,comparator precision,,,,
,,EST-AE-PSI-001,outcome completeness,,,,
,,EST-AE-PSI-001,outcome non-overlap,,,,
,,EST-AE-PSI-001,time-window appropriateness,,,,
,,EST-AE-PSI-001,intercurrent-event strategy,,,,
,,EST-AE-PSI-001,summary-measure interpretability,,,,
,,EST-AE-PSI-001,estimability from available data,,,,
,,EST-AE-PSI-001,important omitted subgroup/context,,,,
