estimand_id,question_component,required_data_element,candidate_data_source,coverage_population,coverage_geography,coverage_period,access_status,known_limitation,decision,reviewer,date
EST-AE-ALC-001,denominator,count of compatible 60 g drinking episodes,BRFSS/NSDUH alcohol-frequency and binge-drinking items; high-intensity drinking surveillance,community-dwelling adults; definitions vary by survey,United States,annual/repeated cross-sections,public_summary_and_microdata,No source identifies exact 60 g within 2 hours for every counted episode and links the episode to the target outcomes.,proxy_only_not_release_ready,author feasibility screen,2026-07-23
EST-AE-ALC-001,numerator,24-hour severe medical and injury outcomes,NHAMCS ED data; NCHS mortality; FARS/NVDRS for selected injury outcomes,"patients/decedents, not the full exposed population",United States,2022-2025 varies by system,public_or_restricted_by_system,"Outcome systems rarely record exact grams, drinking duration, dependence exclusion, or matched no-use periods.",partial_outcome_coverage,author feasibility screen,2026-07-23
EST-AE-ALC-001,linkage,same population/place/period or defensible transport model,No national source located that links exact 60 g episodes to all prespecified 24-hour outcomes,not available,United States,2022-2025,not_available,"Separate survey denominators and outcome numerators would require strong, currently untestable transport and attribution assumptions.",blocked_pending_denominator_study,author feasibility screen,2026-07-23
EST-RU-TOB-001,exposure,repeated cigarettes/day and cessation status,PATH Study public/restricted-use longitudinal files,U.S. civilian noninstitutionalized population; tobacco users and nonusers,United States,2013 onward; repeated waves,public_and_restricted,"Repeated behavior is strong, but exact sustained 20-cigarette/day and complete-cessation strategies require emulation, censoring, and weighting.",feasible_with_target_trial_emulation,author feasibility screen,2026-07-23
EST-RU-TOB-001,outcome,10-year mortality and incident CVD/COPD/cancer,NCHS linked mortality files; PATH health-condition/biomarker data; restricted linked claims may be needed,coverage differs by source,United States,varies; 10-year maturity differs,public_and_restricted,"No single located source jointly supplies repeated smoking strategy, adjudicated mortality, and all incident diseases for the exact target population.",partial_requires_data_fusion_or_scope_split,author feasibility screen,2026-07-23
EST-RU-TOB-001,confounding_and_followup,time-varying confounders and complete 10-year follow-up,PATH repeated covariates plus external linked outcome sources,baseline smokers 30-49 subset,United States,2013 onward,public_and_restricted,"Attrition, exposure misclassification, latency, and positivity for sustained strategies are material; cancer power is likely poor.",revise_before_estimation,author feasibility screen,2026-07-23
EST-AE-OPI-001,denominator,number of intranasal episodes in opioid-tolerant users,No representative national episode-count source located,not available,United States,2024,not_available,"Surveys measure use days or persons, not intranasal episodes with tolerance, dose, co-use, and market-year specificity.",blocked,author feasibility screen,2026-07-23
EST-AE-OPI-001,outcome,fatal and severe toxicity within 24 hours,CDC SUDORS; EMS/hospital overdose surveillance,overdose events and decedents,United States; coverage varies,2024,public_summary_restricted_detail,Strong for event description but cannot produce absolute per-episode risk without compatible exposure counts.,outcome_only,author feasibility screen,2026-07-23
EST-AE-OPI-001,supply_distribution,representative composition and potency distribution linked to episodes,DEA laboratory/seizure data; community drug-checking programs,"seized or submitted samples, not a probability sample of consumed episodes",United States; local programs vary,2024,public_summary_and_local_data,Seizure/testing samples are selection-biased and generally not linkable to the people and episodes in outcome systems.,blocked_for_national_absolute_risk,author feasibility screen,2026-07-23
EST-AE-PSI-001,intervention_arm,25 mg synthetic psilocybin with controlled support,NCT03866174 / Raison et al. 2023; other completed and ongoing trial records,trial-eligible adults with MDD or adjacent depressive populations,multisite; transport target U.S./Canada,2018-2026,public_registry_and_publications,"At least one direct MDD trial exists; other trials differ in treatment resistance, comparator, psychotherapy, and eligibility.",direct_evidence_exists,author feasibility screen,2026-07-23
EST-AE-PSI-001,comparator,placebo/inactive control with identical support,NCT03866174 used active placebo; NCT03775200 used 1 mg psilocybin control,trial participants,multisite,2018-2026,public_registry_and_publications,Control conditions are not interchangeable and functional unblinding is likely; comparator directness must be coded study by study.,feasible_with_directness_strata,author feasibility screen,2026-07-23
EST-AE-PSI-001,rare_outcomes,complete serious and severe event counts through 7 days,"trial publications, supplements, registry results, and author queries",trial-eligible adults,trial countries,2018-2026,mixed,Small samples and zero-event arms cannot precisely estimate rare serious outcomes; reporting windows and event definitions may differ.,descriptive_synthesis_feasible_meta_analysis_conditional,author feasibility screen,2026-07-23
