outcome_id,label,outcome_type,hierarchy,seriousness_definition,severity_rule,ascertainment_priority,event_unit,denominator_rule,time_windows,attribution_role,reporting_status_values
HARM-001,All-cause serious adverse event,serious,primary,"Source regulatory definition; map death, life threat, hospitalization, disability, congenital anomaly, or other medically important event.",Record separately; severity does not define seriousness.,active or explicit systematic ascertainment preferred,participants_with_at_least_one_event,dosed participants observed in window,0-24h; >24h-7d; longer context,none required,confirmed_zero/event/numeric_unavailable/mentioned_only/not_reported
HARM-002,Death,serious,primary,Death from any cause in the prespecified window.,Not applicable.,objective verification,participants,dosed participants observed in window,0-24h; >24h-7d; longer context,all-cause primary; attribution secondary,same
HARM-003,Emergency transfer or hospitalization,serious/process,primary,"Transfer to emergency care or inpatient admission, preserving source definition.",Record intensity separately.,objective record preferred,participants,dosed participants observed in window,0-24h; >24h-7d,all-cause primary; attribution secondary,same
HARM-004,ICU-level care or organ support,serious,primary,"ICU admission, ventilation, vasopressors, or other organ support.",Not applicable.,objective record,participants,dosed participants observed in window,0-24h; >24h-7d,all-cause primary; attribution secondary,same
HARM-005,Severe psychiatric or behavioral event requiring intervention,severe/process,primary,"Panic, anxiety, psychosis, mania, dissociation, agitation, or behavioral event requiring rescue medication, extended observation, restraint, transfer, or hospitalization.",Source scale and threshold retained.,structured clinician assessment plus intervention record,participants,dosed participants observed in window,0-24h; >24h-7d,attribution secondary,same
HARM-006,"Self-harm, suicide attempt, or sustained clinically important worsening",serious/severe,primary,"Preserve source definition, instrument, ideation/behavior distinction, and intervention threshold.",Record severity and seriousness independently.,structured instrument and clinical adjudication,participants,dosed participants observed in window,0-24h; >24h-7d; longer context,all-cause primary; attribution secondary,same
HARM-007,Mania or psychosis,severe/serious_possible,secondary,"Clinician-defined mania, hypomania, psychosis, or loss of reality testing.",Record scale and intervention.,structured clinician assessment,participants,dosed participants observed in window,0-24h; >24h-7d; longer context,attribution secondary,same
HARM-008,"Prolonged severe anxiety, panic, or dissociation",severe,secondary,Severe event persisting beyond expected acute effects or requiring intervention.,Record source threshold and duration.,active assessment preferred,participants,dosed participants observed in window,0-24h; >24h-7d,attribution secondary,same
HARM-009,Rescue medication,process,secondary,Any protocol-defined medication used to manage acute or delayed symptoms.,"Record medication, dose, indication, and timing.",medication administration record,participants and administrations,dosed participants observed in window,0-24h; >24h-7d,not required,same
HARM-010,Extended observation,process,secondary,Observation beyond planned discharge or monitoring period because of symptoms or safety concern.,Record duration and reason.,site record,participants,dosed participants observed in window,0-24h; >24h-7d,not required,same
HARM-011,Any treatment-emergent adverse event,nonserious_or_serious,secondary,Preserve study TEAE definition and coding dictionary.,Severity and seriousness separate.,solicited and spontaneous methods separated,participants and events,safety population,study windows,attribution secondary,same
HARM-012,Investigator-attributed drug-related serious adverse event,serious_attribution,secondary,Study investigator or sponsor attribution; exact rule preserved.,Severity independent.,attribution process and assessor extracted,participants,dosed participants observed in window,0-24h; >24h-7d; longer context,this is attribution-based by definition,same
