search_id,database_or_source,platform,coverage,draft_strategy,filters,execution_status,peer_review_status,export_required,notes
SRCH-PUBMED-01,MEDLINE,PubMed,database inception to final search date,"((""Psilocybin""[Mesh] OR psilocybin[tiab] OR psilocin[tiab] OR COMP360[tiab]) AND (""Depressive Disorder, Major""[Mesh] OR depress*[tiab] OR ""major depressive disorder""[tiab] OR MDD[tiab] OR ""treatment resistant depression""[tiab] OR ""treatment-resistant depression""[tiab] OR TRD[tiab]) AND (randomized controlled trial[pt] OR controlled clinical trial[pt] OR random*[tiab] OR placebo*[tiab] OR trial[tiab])) NOT (animals[mh] NOT humans[mh])",No language or date restriction,author_web_pilot_only,PRESS_peer_review_pending,NBIB and CSV with query/date/count,The v0.1 2018 lower date limit was removed prospectively for the independent replication to maximize recall.
SRCH-EMBASE-01,Embase,Ovid,database inception to final search date,"1 exp psilocybin/; 2 (psilocybin or psilocin or COMP360).ti,ab,kw.; 3 1 or 2; 4 exp major depression/; 5 (depress* or MDD or TRD or treatment-resistant depress*).ti,ab,kw.; 6 4 or 5; 7 randomized controlled trial/ or controlled clinical trial/; 8 (random* or placebo* or trial).ti,ab,kw.; 9 7 or 8; 10 3 and 6 and 9; 11 limit 10 to human",No language or date restriction,not_run_no_licensed_access,PRESS_peer_review_pending,RIS/CSV with full Ovid history,Line numbering and exploded headings must be checked by an Embase information specialist.
SRCH-PSYCINFO-01,APA PsycINFO,Ovid,database inception to final search date,"1 psilocybin.mp.; 2 (psilocin or COMP360).ti,ab,id.; 3 1 or 2; 4 exp Major Depression/; 5 (depress* or MDD or TRD or treatment-resistant depress*).ti,ab,id.; 6 4 or 5; 7 (random* or placebo* or trial).ti,ab,id.; 8 3 and 6 and 7",No language or date restriction,not_run_no_licensed_access,PRESS_peer_review_pending,RIS/CSV with full Ovid history,Subject-heading syntax requires platform verification before execution.
SRCH-CENTRAL-01,Cochrane CENTRAL,Cochrane Library,database inception to final search date,"(psilocybin OR psilocin OR COMP360):ti,ab,kw AND (depress* OR MDD OR TRD OR ""treatment resistant depression""):ti,ab,kw",No language or date restriction; no RCT filter because CENTRAL is trial-focused,not_run,PRESS_peer_review_pending,RIS/CSV and search history,"Search broadly; screen dose, regimen, and population later."
SRCH-CTGOV-01,ClinicalTrials.gov,ClinicalTrials.gov,all available records,"Condition/disease: depression; Intervention/treatment: psilocybin; download all statuses, then independently search COMP360 and psilocin as free text",No study-status or date restriction,author_web_pilot_only,second_reviewer_verification_pending,CSV plus record-history snapshots,"Search must capture completed, terminated, withdrawn, and no-results records."
SRCH-ICTRP-01,WHO ICTRP,WHO trial search,all available records,psilocybin AND depress*; repeat with COMP360 and psilocin,"No status, language, or date restriction",not_run,second_reviewer_verification_pending,CSV/XML or documented manual export,ICTRP availability and export method must be logged on execution day.
SRCH-SCOPUS-01,Scopus,Elsevier Scopus,database inception to final search date,TITLE-ABS-KEY(psilocybin OR psilocin OR COMP360) AND TITLE-ABS-KEY(depress* OR MDD OR TRD) AND TITLE-ABS-KEY(random* OR placebo* OR trial),No language or date restriction,not_run_no_licensed_access,PRESS_peer_review_pending,RIS/CSV,Used for forward/backward citation mapping and conference records.
SRCH-WOS-01,Web of Science Core Collection,Clarivate,database inception to final search date,"TS=(psilocybin OR psilocin OR COMP360) AND TS=(depress* OR MDD OR TRD OR ""treatment resistant depression"") AND TS=(random* OR placebo* OR trial)",No language or date restriction,not_run_no_licensed_access,PRESS_peer_review_pending,RIS/CSV,Used for citation searching and potentially missed conference material.
SRCH-CITATION-01,Backward and forward citation search,Included reports plus Scopus/Web of Science/Google Scholar,through final search date,Review references of every included and near-eligible report; run cited-by searches for each included report and protocol,No restriction,not_run,dual_verification_pending,citation-chasing log,Each discovered record receives a source chain and screening ID.
SRCH-GREY-01,"Sponsor, regulatory, and author search",Sponsor sites; FDA/EMA/TGA; author contact,through final search date,"Search registry IDs, protocol titles, sponsor names, and investigator names; request unpublished arm-level 7-day harms data and clarify discrepant outcomes",No restriction,not_run,adjudicator_oversight_pending,contact log and archived response,Top-line press releases may identify studies but cannot supply primary synthesis data without adequate arm-level methods/results.
