study_family_id,primary_registry_id,primary_record_id,population_class,regimen_class,directness_hint_author_only,known_report_count,independent_family_linkage_status,notes
PSI-FAM-001,NCT03866174,PSI-CAND-001,Adults with major depressive disorder meeting trial eligibility,Single 25 mg oral synthetic psilocybin with psychological support,direct_primary_candidate,1,not_started,"Secondary publications, protocols, registry histories, and sponsor reports must be linked here rather than double-counted."
PSI-FAM-002,NCT04630964,PSI-CAND-002,Adults with moderate to severe recurrent major depressive disorder,Single 25 mg oral psilocybin with five psychotherapeutic support sessions,direct_primary_candidate,1,not_started,"Secondary publications, protocols, registry histories, and sponsor reports must be linked here rather than double-counted."
PSI-FAM-003,NCT03775200,PSI-CAND-003,Adults with treatment-resistant depression,Single 25 mg oral synthetic psilocybin with support,indirect_population_and_comparator,1,not_started,"Secondary publications, protocols, registry histories, and sponsor reports must be linked here rather than double-counted."
PSI-FAM-004,NCT04670081,PSI-CAND-004,Adults with treatment-resistant major depression,Single 25 mg psilocybin with psychological support,indirect_population,1,not_started,"Secondary publications, protocols, registry histories, and sponsor reports must be linked here rather than double-counted."
PSI-FAM-005,NCT06308653,PSI-CAND-005,Adults with major depressive disorder,25 mg psilocybin with optional re-administration during follow-up,potentially_direct_but_regimen_review_needed,1,not_started,"Secondary publications, protocols, registry histories, and sponsor reports must be linked here rather than double-counted."
PSI-FAM-006,NCT03715127,PSI-CAND-006,Adults with major depressive disorder,Single weight-adjusted psilocybin dose with support,indirect_dose,1,not_started,"Secondary publications, protocols, registry histories, and sponsor reports must be linked here rather than double-counted."
PSI-FAM-007,NCT03181529,PSI-CAND-007,Adults with major depressive disorder,Two psilocybin sessions using weight-adjusted doses with psychotherapy,indirect_regimen_and_comparator,1,not_started,"Secondary publications, protocols, registry histories, and sponsor reports must be linked here rather than double-counted."
PSI-FAM-008,,PSI-CAND-008,Adults with major depressive disorder,Psilocybin after a placebo period in a fixed-order design,indirect_dose_and_design,1,not_started,"Secondary publications, protocols, registry histories, and sponsor reports must be linked here rather than double-counted."
PSI-FAM-009,NCT03429075,PSI-CAND-009,Adults with moderate-to-severe major depressive disorder,Two 25 mg psilocybin administrations plus daily placebo,indirect_repeated_dose_and_comparator,1,not_started,"Secondary publications, protocols, registry histories, and sponsor reports must be linked here rather than double-counted."
PSI-FAM-010,NCT05733546,PSI-CAND-010,Adults with recurrent major depressive disorder and up to four prior treatment failures,Single COMP360 administration; exact arm details require registry extraction,potentially_direct_or_indirect,1,not_started,"Secondary publications, protocols, registry histories, and sponsor reports must be linked here rather than double-counted."
PSI-FAM-011,NCT04620759,PSI-CAND-011,Adults with co-occurring major depressive disorder and alcohol use disorder,Psilocybin-assisted treatment; exact regimen requires registry extraction,indirect_comorbid_population,1,not_started,"Secondary publications, protocols, registry histories, and sponsor reports must be linked here rather than double-counted."
PSI-FAM-012,NCT05624268,PSI-CAND-012,Adults with treatment-resistant depression,Single COMP360 25 mg administration with psychological support,indirect_population,1,not_started,"Secondary publications, protocols, registry histories, and sponsor reports must be linked here rather than double-counted."
PSI-FAM-013,NCT05711940,PSI-CAND-013,Adults with treatment-resistant depression,Two COMP360 administrations with psychological support,indirect_population_and_regimen,1,not_started,"Secondary publications, protocols, registry histories, and sponsor reports must be linked here rather than double-counted."
